Description,Category,Price
local annual monthly online monthly local annual annual local Pet Store,General Store,194.03
online online premium monthly Convenience Store,General Store,126.19
Convenience Store,General Store,248.27
premium premium premium premium online online premium monthly Convenience Store,General Store,384.98
annual premium online online premium premium premium premium online online premium monthly Convenience Store,General Store,130.42
annual monthly online monthly local annual annual local Pet Store,General Store,241.15
annual premium online online premium premium premium premium online online premium monthly Convenience Store,General Store,115.54
local online local annual monthly online monthly local annual annual local Pet Store,General Store,468.29
Convenience Store,General Store,412.68
local annual monthly online monthly local annual annual local Pet Store,General Store,322.39
local annual monthly online monthly local annual annual local Pet Store,General Store,55.38
premium premium premium annual monthly annual monthly monthly annual annual annual premium premium annual Grocery Store,Grocery Stores,182.62
local annual annual Supermarket,Grocery Stores,428.04
annual monthly online premium online monthly premium local annual annual Supermarket,Grocery Stores,274.41
Food Store,Grocery Stores,122.44
annual local online online monthly annual online online local annual online Farmers Market,Grocery Stores,297.55
annual online online local annual online Farmers Market,Grocery Stores,187.48
annual premium premium annual Grocery Store,Grocery Stores,25.05
annual annual annual local monthly online annual Food Store,Grocery Stores,73.98
online annual annual annual local monthly online annual Food Store,Grocery Stores,21.57
local premium local monthly monthly premium premium annual monthly online premium online monthly premium local annual annual Supermarket,Grocery Stores,61.47
premium premium annual Grocery Store,Grocery Stores,484.21
premium annual online annual annual annual local monthly online annual Food Store,Grocery Stores,409.03
monthly online annual Food Store,Grocery Stores,213.9
annual annual annual premium premium annual Grocery Store,Grocery Stores,296.79
premium annual online annual annual annual local monthly online annual Food Store,Grocery Stores,499.34
annual online annual annual annual local monthly online annual Food Store,Grocery Stores,427.39
annual Grocery Store,Grocery Stores,159.97
Food Store,Grocery Stores,210.15
annual annual annual online premium premium annual online online annual local annual annual local Doctor Visit,Health & Medical,273.09
online local annual annual online Pharmacy,Health & Medical,222.47
local online monthly premium monthly premium online local annual annual online Pharmacy,Health & Medical,446.67
premium monthly local monthly Hospital,Health & Medical,498.05
annual local online annual local online annual monthly Health Insurance,Health & Medical,124.62
online annual local online annual monthly Health Insurance,Health & Medical,369.05
online annual local annual annual local Doctor Visit,Health & Medical,92.89
monthly monthly premium annual premium monthly local monthly Hospital,Health & Medical,441.4
monthly monthly premium annual premium monthly local monthly Hospital,Health & Medical,72.72
local online local online monthly premium monthly premium online local annual annual online Pharmacy,Health & Medical,488.29
online annual local annual annual local Doctor Visit,Health & Medical,31.45
premium annual online monthly monthly premium annual premium monthly local monthly Hospital,Health & Medical,379.44
annual premium monthly local monthly Hospital,Health & Medical,117.16
premium annual online online annual local annual annual local Doctor Visit,Health & Medical,434.06
annual premium annual online monthly monthly premium annual premium monthly local monthly Hospital,Health & Medical,394.45
online monthly monthly premium annual premium monthly local monthly Hospital,Health & Medical,79.71
local Doctor Visit,Health & Medical,305.76
local monthly Hospital,Health & Medical,252.86
monthly premium premium premium online monthly annual premium premium annual annual premium premium annual Personal Loan Payment,Loan Payment,144.19
premium annual Personal Loan Payment,Loan Payment,271.27
premium annual annual premium premium annual Personal Loan Payment,Loan Payment,365.98
local annual online premium local online online premium premium monthly annual online local premium Loan Installment,Loan Payment,188.14
annual online premium local online online premium premium monthly annual online local premium Loan Installment,Loan Payment,75.38
online premium local online online premium premium monthly annual online local premium Loan Installment,Loan Payment,333.19
online premium premium monthly annual online local premium Loan Installment,Loan Payment,242.86
premium premium premium online monthly annual premium premium annual annual premium premium annual Personal Loan Payment,Loan Payment,186.23
annual online local premium Loan Installment,Loan Payment,470.93
premium Loan Installment,Loan Payment,242.78
premium premium monthly annual online local premium Loan Installment,Loan Payment,460.81
local online online premium premium monthly annual online local premium Loan Installment,Loan Payment,75.67
annual premium premium annual annual premium premium annual Personal Loan Payment,Loan Payment,371.95
premium local online online premium premium monthly annual online local premium Loan Installment,Loan Payment,380.85
monthly monthly premium premium premium online monthly annual premium premium annual annual premium premium annual Personal Loan Payment,Loan Payment,56.93
local premium Loan Installment,Loan Payment,309.56
online monthly annual premium premium annual annual premium premium annual Personal Loan Payment,Loan Payment,383.64
premium online monthly annual premium premium annual annual premium premium annual Personal Loan Payment,Loan Payment,149.32
annual premium monthly local online online monthly premium Boutique,Retail Business,43.97
premium monthly local premium annual annual Retail Store,Retail Business,350.58
local premium local online Retail Outlet,Retail Business,250.02
local annual premium monthly local online online monthly premium Boutique,Retail Business,114.92
local annual premium monthly local online online monthly premium Boutique,Retail Business,451.47
annual annual monthly premium monthly local premium annual annual Retail Store,Retail Business,74.31
local online online monthly premium Boutique,Retail Business,38.96
local monthly online local local premium local online Retail Outlet,Retail Business,164.03
monthly local online online monthly premium Boutique,Retail Business,353.95
annual annual monthly local local annual premium monthly local online online monthly premium Boutique,Retail Business,262.98
online Retail Outlet,Retail Business,113.73
premium monthly local premium annual annual Retail Store,Retail Business,480.5
annual annual annual annual monthly premium monthly local premium annual annual Retail Store,Retail Business,114.26
local premium annual annual Retail Store,Retail Business,76.61
monthly premium monthly local premium annual annual Retail Store,Retail Business,279.18
online online monthly premium Boutique,Retail Business,59.05
online Retail Outlet,Retail Business,446.05
monthly local online online monthly premium Boutique,Retail Business,315.05
local premium online online premium online local online annual annual local monthly annual local annual Electronics Shop,Shopping,35.66
monthly premium online monthly monthly monthly Clothing Store,Shopping,174.28
local premium annual premium local local monthly premium online monthly monthly monthly Clothing Store,Shopping,50.8
Shopping Center,Shopping,144.79
monthly online local annual Mall,Shopping,55.22
online local annual Mall,Shopping,341.45
annual local monthly annual local annual Electronics Shop,Shopping,105.47
monthly local monthly monthly premium Shopping Center,Shopping,180.97
annual monthly local monthly monthly premium Shopping Center,Shopping,282.22
local online local monthly online premium monthly premium local premium annual premium local local monthly premium online monthly monthly monthly Clothing Store,Shopping,137.43
monthly annual local annual Electronics Shop,Shopping,313.23
premium annual monthly local monthly monthly premium Shopping Center,Shopping,130.55
monthly premium Shopping Center,Shopping,394.4
online annual annual local monthly annual local annual Electronics Shop,Shopping,179.94
annual annual premium annual monthly local monthly monthly premium Shopping Center,Shopping,204.84
premium annual monthly local monthly monthly premium Shopping Center,Shopping,459.45
Electronics Shop,Shopping,402.27
Shopping Center,Shopping,268.94
premium online online monthly Property Tax,Tax Payments,284.31
online monthly annual monthly premium Income Tax,Tax Payments,449.9
premium local premium local annual Sales Tax,Tax Payments,180.86
online premium online online monthly Property Tax,Tax Payments,308.7
online premium online online monthly Property Tax,Tax Payments,338.07
local premium online monthly annual monthly premium Income Tax,Tax Payments,303.57
online online monthly Property Tax,Tax Payments,126.71
local monthly premium annual premium local premium local annual Sales Tax,Tax Payments,47.38
online online monthly Property Tax,Tax Payments,456.99
local premium online premium online online monthly Property Tax,Tax Payments,320.34
local annual Sales Tax,Tax Payments,75.17
annual monthly premium Income Tax,Tax Payments,97.07
monthly local local premium online monthly annual monthly premium Income Tax,Tax Payments,452.73
annual monthly premium Income Tax,Tax Payments,299.39
online monthly annual monthly premium Income Tax,Tax Payments,266.09
monthly Property Tax,Tax Payments,26.45
Sales Tax,Tax Payments,117.08
online online monthly Property Tax,Tax Payments,35.35
